x,y,z
0.000000,0.000000,-3.400000
-3.400000,0.000000,2.200000
0.000000,0.900000,-0.600000
-3.400000,0.000000,2.200000
-1.200000,0.800000,2.200000
0.000000,0.900000,-0.600000
0.000000,0.900000,-0.600000
-1.200000,0.800000,2.200000
1.200000,0.800000,2.200000
0.000000,0.900000,-0.600000
1.200000,0.800000,2.200000
3.400000,0.000000,2.200000
0.000000,0.000000,-3.400000
0.000000,0.900000,-0.600000
3.400000,0.000000,2.200000
0.000000,0.000000,-3.400000
0.000000,-0.900000,-0.200000
-3.400000,0.000000,2.200000
-3.400000,0.000000,2.200000
0.000000,-0.900000,-0.200000
-1.200000,-0.800000,2.200000
0.000000,-0.900000,-0.200000
1.200000,-0.800000,2.200000
-1.200000,-0.800000,2.200000
0.000000,-0.900000,-0.200000
3.400000,0.000000,2.200000
1.200000,-0.800000,2.200000
0.000000,0.000000,-3.400000
3.400000,0.000000,2.200000
0.000000,-0.900000,-0.200000
0.000000,0.000000,2.200000
-3.400000,0.000000,2.200000
-1.200000,-0.800000,2.200000
0.000000,0.000000,2.200000
-1.200000,-0.800000,2.200000
1.200000,-0.800000,2.200000
0.000000,0.000000,2.200000
1.200000,-0.800000,2.200000
3.400000,0.000000,2.200000
0.000000,0.000000,2.200000
3.400000,0.000000,2.200000
1.200000,0.800000,2.200000
0.000000,0.000000,2.200000
1.200000,0.800000,2.200000
-1.200000,0.800000,2.200000
0.000000,0.000000,2.200000
-1.200000,0.800000,2.200000
-3.400000,0.000000,2.200000
