id,x,y,z
1,0.000000,0.000000,-3.400000
2,-3.400000,0.000000,2.200000
3,0.000000,0.900000,-0.600000
4,-3.400000,0.000000,2.200000
5,-1.200000,0.800000,2.200000
6,0.000000,0.900000,-0.600000
7,0.000000,0.900000,-0.600000
8,-1.200000,0.800000,2.200000
9,1.200000,0.800000,2.200000
10,0.000000,0.900000,-0.600000
11,1.200000,0.800000,2.200000
12,3.400000,0.000000,2.200000
13,0.000000,0.000000,-3.400000
14,0.000000,0.900000,-0.600000
15,3.400000,0.000000,2.200000
16,0.000000,0.000000,-3.400000
17,0.000000,-0.900000,-0.200000
18,-3.400000,0.000000,2.200000
19,-3.400000,0.000000,2.200000
20,0.000000,-0.900000,-0.200000
21,-1.200000,-0.800000,2.200000
22,0.000000,-0.900000,-0.200000
23,1.200000,-0.800000,2.200000
24,-1.200000,-0.800000,2.200000
25,0.000000,-0.900000,-0.200000
26,3.400000,0.000000,2.200000
27,1.200000,-0.800000,2.200000
28,0.000000,0.000000,-3.400000
29,3.400000,0.000000,2.200000
30,0.000000,-0.900000,-0.200000
31,0.000000,0.000000,2.200000
32,-3.400000,0.000000,2.200000
33,-1.200000,-0.800000,2.200000
34,0.000000,0.000000,2.200000
35,-1.200000,-0.800000,2.200000
36,1.200000,-0.800000,2.200000
37,0.000000,0.000000,2.200000
38,1.200000,-0.800000,2.200000
39,3.400000,0.000000,2.200000
40,0.000000,0.000000,2.200000
41,3.400000,0.000000,2.200000
42,1.200000,0.800000,2.200000
43,0.000000,0.000000,2.200000
44,1.200000,0.800000,2.200000
45,-1.200000,0.800000,2.200000
46,0.000000,0.000000,2.200000
47,-1.200000,0.800000,2.200000
48,-3.400000,0.000000,2.200000
