x,y,z
1,3,2
478,450,451
1,4,3
478,451,452
1,5,4
478,452,453
1,6,5
478,453,454
1,7,6
478,454,455
1,8,7
478,455,456
1,9,8
478,456,457
1,10,9
478,457,458
1,11,10
478,458,459
1,12,11
478,459,460
1,13,12
478,460,461
1,14,13
478,461,462
1,15,14
478,462,463
1,16,15
478,463,464
1,17,16
478,464,465
1,18,17
478,465,466
1,19,18
478,466,467
1,20,19
478,467,468
1,21,20
478,468,469
1,22,21
478,469,470
1,23,22
478,470,471
1,24,23
478,471,472
1,25,24
478,472,473
1,26,25
478,473,474
1,27,26
478,474,475
1,28,27
478,475,476
1,29,28
478,476,477
1,2,29
478,477,450
2,3,31
2,31,30
3,4,32
3,32,31
4,5,33
4,33,32
5,6,34
5,34,33
6,7,35
6,35,34
7,8,36
7,36,35
8,9,37
8,37,36
9,10,38
9,38,37
10,11,39
10,39,38
11,12,40
11,40,39
12,13,41
12,41,40
13,14,42
13,42,41
14,15,43
14,43,42
15,16,44
15,44,43
16,17,45
16,45,44
17,18,46
17,46,45
18,19,47
18,47,46
19,20,48
19,48,47
20,21,49
20,49,48
21,22,50
21,50,49
22,23,51
22,51,50
23,24,52
23,52,51
24,25,53
24,53,52
25,26,54
25,54,53
26,27,55
26,55,54
27,28,56
27,56,55
28,29,57
28,57,56
29,2,30
29,30,57
30,31,59
30,59,58
31,32,60
31,60,59
32,33,61
32,61,60
33,34,62
33,62,61
34,35,63
34,63,62
35,36,64
35,64,63
36,37,65
36,65,64
37,38,66
37,66,65
38,39,67
38,67,66
39,40,68
39,68,67
40,41,69
40,69,68
41,42,70
41,70,69
42,43,71
42,71,70
43,44,72
43,72,71
44,45,73
44,73,72
45,46,74
45,74,73
46,47,75
46,75,74
47,48,76
47,76,75
48,49,77
48,77,76
49,50,78
49,78,77
50,51,79
50,79,78
51,52,80
51,80,79
52,53,81
52,81,80
53,54,82
53,82,81
54,55,83
54,83,82
55,56,84
55,84,83
56,57,85
56,85,84
57,30,58
57,58,85
58,59,87
58,87,86
59,60,88
59,88,87
60,61,89
60,89,88
61,62,90
61,90,89
62,63,91
62,91,90
63,64,92
63,92,91
64,65,93
64,93,92
65,66,94
65,94,93
66,67,95
66,95,94
67,68,96
67,96,95
68,69,97
68,97,96
69,70,98
69,98,97
70,71,99
70,99,98
71,72,100
71,100,99
72,73,101
72,101,100
73,74,102
73,102,101
