id,x,y,z
1,1,3,2
2,478,450,451
3,1,4,3
4,478,451,452
5,1,5,4
6,478,452,453
7,1,6,5
8,478,453,454
9,1,7,6
10,478,454,455
11,1,8,7
12,478,455,456
13,1,9,8
14,478,456,457
15,1,10,9
16,478,457,458
17,1,11,10
18,478,458,459
19,1,12,11
20,478,459,460
21,1,13,12
22,478,460,461
23,1,14,13
24,478,461,462
25,1,15,14
26,478,462,463
27,1,16,15
28,478,463,464
29,1,17,16
30,478,464,465
31,1,18,17
32,478,465,466
33,1,19,18
34,478,466,467
35,1,20,19
36,478,467,468
37,1,21,20
38,478,468,469
39,1,22,21
40,478,469,470
41,1,23,22
42,478,470,471
43,1,24,23
44,478,471,472
45,1,25,24
46,478,472,473
47,1,26,25
48,478,473,474
49,1,27,26
50,478,474,475
51,1,28,27
52,478,475,476
53,1,29,28
54,478,476,477
55,1,2,29
56,478,477,450
57,2,3,31
58,2,31,30
59,3,4,32
60,3,32,31
61,4,5,33
62,4,33,32
63,5,6,34
64,5,34,33
65,6,7,35
66,6,35,34
67,7,8,36
68,7,36,35
69,8,9,37
70,8,37,36
71,9,10,38
72,9,38,37
73,10,11,39
74,10,39,38
75,11,12,40
76,11,40,39
77,12,13,41
78,12,41,40
79,13,14,42
80,13,42,41
81,14,15,43
82,14,43,42
83,15,16,44
84,15,44,43
85,16,17,45
86,16,45,44
87,17,18,46
88,17,46,45
89,18,19,47
90,18,47,46
91,19,20,48
92,19,48,47
93,20,21,49
94,20,49,48
95,21,22,50
96,21,50,49
97,22,23,51
98,22,51,50
99,23,24,52
100,23,52,51
101,24,25,53
102,24,53,52
103,25,26,54
104,25,54,53
105,26,27,55
106,26,55,54
107,27,28,56
108,27,56,55
109,28,29,57
110,28,57,56
111,29,2,30
112,29,30,57
113,30,31,59
114,30,59,58
115,31,32,60
116,31,60,59
117,32,33,61
118,32,61,60
119,33,34,62
120,33,62,61
121,34,35,63
122,34,63,62
123,35,36,64
124,35,64,63
125,36,37,65
126,36,65,64
127,37,38,66
128,37,66,65
129,38,39,67
130,38,67,66
131,39,40,68
132,39,68,67
133,40,41,69
134,40,69,68
135,41,42,70
136,41,70,69
137,42,43,71
138,42,71,70
139,43,44,72
140,43,72,71
141,44,45,73
142,44,73,72
143,45,46,74
144,45,74,73
145,46,47,75
146,46,75,74
147,47,48,76
148,47,76,75
149,48,49,77
150,48,77,76
151,49,50,78
152,49,78,77
153,50,51,79
154,50,79,78
155,51,52,80
156,51,80,79
157,52,53,81
158,52,81,80
159,53,54,82
160,53,82,81
161,54,55,83
162,54,83,82
163,55,56,84
164,55,84,83
165,56,57,85
166,56,85,84
167,57,30,58
168,57,58,85
169,58,59,87
170,58,87,86
171,59,60,88
172,59,88,87
173,60,61,89
174,60,89,88
175,61,62,90
176,61,90,89
177,62,63,91
178,62,91,90
179,63,64,92
180,63,92,91
181,64,65,93
182,64,93,92
183,65,66,94
184,65,94,93
185,66,67,95
186,66,95,94
187,67,68,96
188,67,96,95
189,68,69,97
190,68,97,96
191,69,70,98
192,69,98,97
193,70,71,99
194,70,99,98
195,71,72,100
196,71,100,99
197,72,73,101
198,72,101,100
199,73,74,102
200,73,102,101
201,74,75,103
202,74,103,102
203,75,76,104
204,75,104,103
205,76,77,105
206,76,105,104
207,77,78,106
208,77,106,105
209,78,79,107
210,78,107,106
211,79,80,108
212,79,108,107
213,80,81,109
214,80,109,108
215,81,82,110
216,81,110,109
217,82,83,111
218,82,111,110
219,83,84,112
220,83,112,111
221,84,85,113
222,84,113,112
223,85,58,86
224,85,86,113
225,86,87,115
226,86,115,114
227,87,88,116
228,87,116,115
229,88,89,117
230,88,117,116
231,89,90,118
232,89,118,117
233,90,91,119
234,90,119,118
235,91,92,120
236,91,120,119
237,92,93,121
238,92,121,120
239,93,94,122
240,93,122,121
241,94,95,123
242,94,123,122
243,95,96,124
244,95,124,123
245,96,97,125
246,96,125,124
247,97,98,126
248,97,126,125
249,98,99,127
250,98,127,126
251,99,100,128
252,99,128,127
253,100,101,129
254,100,129,128
255,101,102,130
256,101,130,129
257,102,103,131
258,102,131,130
259,103,104,132
260,103,132,131
261,104,105,133
262,104,133,132
263,105,106,134
264,105,134,133
265,106,107,135
266,106,135,134
267,107,108,136
