x,y,z
0.000000,3.000000,0.000000
0.260472,2.977212,0.000000
0.253942,2.977212,0.057961
0.234677,2.977212,0.113015
0.203645,2.977212,0.162402
0.162402,2.977212,0.203645
0.113015,2.977212,0.234677
0.057961,2.977212,0.253942
0.000000,2.977212,0.260472
-0.057961,2.977212,0.253942
-0.113015,2.977212,0.234677
-0.162402,2.977212,0.203645
-0.203645,2.977212,0.162402
-0.234677,2.977212,0.113015
-0.253942,2.977212,0.057961
-0.260472,2.977212,0.000000
-0.253942,2.977212,-0.057961
-0.234677,2.977212,-0.113015
-0.203645,2.977212,-0.162402
-0.162402,2.977212,-0.203645
-0.113015,2.977212,-0.234677
-0.057961,2.977212,-0.253942
-0.000000,2.977212,-0.260472
0.057961,2.977212,-0.253942
0.113015,2.977212,-0.234677
0.162402,2.977212,-0.203645
0.203645,2.977212,-0.162402
0.234677,2.977212,-0.113015
0.253942,2.977212,-0.057961
0.513030,2.909539,0.000000
0.500167,2.909539,0.114160
0.462224,2.909539,0.222595
0.401103,2.909539,0.319869
0.319869,2.909539,0.401103
0.222595,2.909539,0.462224
0.114160,2.909539,0.500167
0.000000,2.909539,0.513030
-0.114160,2.909539,0.500167
-0.222595,2.909539,0.462224
-0.319869,2.909539,0.401103
-0.401103,2.909539,0.319869
-0.462224,2.909539,0.222595
-0.500167,2.909539,0.114160
-0.513030,2.909539,0.000000
-0.500167,2.909539,-0.114160
-0.462224,2.909539,-0.222595
-0.401103,2.909539,-0.319869
-0.319869,2.909539,-0.401103
-0.222595,2.909539,-0.462224
-0.114160,2.909539,-0.500167
-0.000000,2.909539,-0.513030
0.114160,2.909539,-0.500167
0.222595,2.909539,-0.462224
0.319869,2.909539,-0.401103
0.401103,2.909539,-0.319869
0.462224,2.909539,-0.222595
0.500167,2.909539,-0.114160
0.750000,2.799038,0.000000
0.731196,2.799038,0.166891
0.675727,2.799038,0.325413
0.586374,2.799038,0.467617
0.467617,2.799038,0.586374
0.325413,2.799038,0.675727
0.166891,2.799038,0.731196
0.000000,2.799038,0.750000
-0.166891,2.799038,0.731196
-0.325413,2.799038,0.675727
-0.467617,2.799038,0.586374
-0.586374,2.799038,0.467617
-0.675727,2.799038,0.325413
-0.731196,2.799038,0.166891
-0.750000,2.799038,0.000000
-0.731196,2.799038,-0.166891
-0.675727,2.799038,-0.325413
-0.586374,2.799038,-0.467617
-0.467617,2.799038,-0.586374
-0.325413,2.799038,-0.675727
-0.166891,2.799038,-0.731196
-0.000000,2.799038,-0.750000
0.166891,2.799038,-0.731196
0.325413,2.799038,-0.675727
0.467617,2.799038,-0.586374
0.586374,2.799038,-0.467617
0.675727,2.799038,-0.325413
0.731196,2.799038,-0.166891
0.964181,2.649067,0.000000
0.940007,2.649067,0.214551
0.868697,2.649067,0.418343
0.753827,2.649067,0.601157
0.601157,2.649067,0.753827
0.418343,2.649067,0.868697
0.214551,2.649067,0.940007
0.000000,2.649067,0.964181
-0.214551,2.649067,0.940007
-0.418343,2.649067,0.868697
-0.601157,2.649067,0.753827
-0.753827,2.649067,0.601157
-0.868697,2.649067,0.418343
-0.940007,2.649067,0.214551
-0.964181,2.649067,0.000000
-0.940007,2.649067,-0.214551
-0.868697,2.649067,-0.418343
-0.753827,2.649067,-0.601157
-0.601157,2.649067,-0.753827
-0.418343,2.649067,-0.868697
-0.214551,2.649067,-0.940007
-0.000000,2.649067,-0.964181
0.214551,2.649067,-0.940007
0.418343,2.649067,-0.868697
0.601157,2.649067,-0.753827
0.753827,2.649067,-0.601157
0.868697,2.649067,-0.418343
0.940007,2.649067,-0.214551
1.149067,2.464181,0.000000
1.120257,2.464181,0.255691
1.035273,2.464181,0.498561
0.898376,2.464181,0.716431
0.716431,2.464181,0.898376
0.498561,2.464181,1.035273
0.255691,2.464181,1.120257
0.000000,2.464181,1.149067
-0.255691,2.464181,1.120257
-0.498561,2.464181,1.035273
-0.716431,2.464181,0.898376
-0.898376,2.464181,0.716431
-1.035273,2.464181,0.498561
-1.120257,2.464181,0.255691
-1.149067,2.464181,0.000000
-1.120257,2.464181,-0.255691
-1.035273,2.464181,-0.498561
-0.898376,2.464181,-0.716431
-0.716431,2.464181,-0.898376
-0.498561,2.464181,-1.035273
-0.255691,2.464181,-1.120257
-0.000000,2.464181,-1.149067
0.255691,2.464181,-1.120257
0.498561,2.464181,-1.035273
0.716431,2.464181,-0.898376
0.898376,2.464181,-0.716431
1.035273,2.464181,-0.498561
1.120257,2.464181,-0.255691
1.299038,2.250000,0.000000
1.266469,2.250000,0.289063
1.170393,2.250000,0.563632
1.015629,2.250000,0.809937
0.809937,2.250000,1.015629
0.563632,2.250000,1.170393
0.289063,2.250000,1.266469
0.000000,2.250000,1.299038
-0.289063,2.250000,1.266469
-0.563632,2.250000,1.170393
-0.809937,2.250000,1.015629
-1.015629,2.250000,0.809937
-1.170393,2.250000,0.563632
-1.266469,2.250000,0.289063
-1.299038,2.250000,0.000000
-1.266469,2.250000,-0.289063
-1.170393,2.250000,-0.563632
-1.015629,2.250000,-0.809937
-0.809937,2.250000,-1.015629
-0.563632,2.250000,-1.170393
-0.289063,2.250000,-1.266469
-0.000000,2.250000,-1.299038
0.289063,2.250000,-1.266469
0.563632,2.250000,-1.170393
0.809937,2.250000,-1.015629
1.015629,2.250000,-0.809937
1.170393,2.250000,-0.563632
1.266469,2.250000,-0.289063
1.409539,2.013030,0.000000
1.374199,2.013030,0.313652
1.269951,2.013030,0.611576
1.102022,2.013030,0.878833
0.878833,2.013030,1.102022
0.611576,2.013030,1.269951
0.313652,2.013030,1.374199
0.000000,2.013030,1.409539
-0.313652,2.013030,1.374199
-0.611576,2.013030,1.269951
-0.878833,2.013030,1.102022
-1.102022,2.013030,0.878833
-1.269951,2.013030,0.611576
-1.374199,2.013030,0.313652
-1.409539,2.013030,0.000000
-1.374199,2.013030,-0.313652
-1.269951,2.013030,-0.611576
-1.102022,2.013030,-0.878833
-0.878833,2.013030,-1.102022
-0.611576,2.013030,-1.269951
-0.313652,2.013030,-1.374199
-0.000000,2.013030,-1.409539
0.313652,2.013030,-1.374199
0.611576,2.013030,-1.269951
0.878833,2.013030,-1.102022
1.102022,2.013030,-0.878833
