id,x,y,z
1,0.000000,3.000000,0.000000
2,0.260472,2.977212,0.000000
3,0.253942,2.977212,0.057961
4,0.234677,2.977212,0.113015
5,0.203645,2.977212,0.162402
6,0.162402,2.977212,0.203645
7,0.113015,2.977212,0.234677
8,0.057961,2.977212,0.253942
9,0.000000,2.977212,0.260472
10,-0.057961,2.977212,0.253942
11,-0.113015,2.977212,0.234677
12,-0.162402,2.977212,0.203645
13,-0.203645,2.977212,0.162402
14,-0.234677,2.977212,0.113015
15,-0.253942,2.977212,0.057961
16,-0.260472,2.977212,0.000000
17,-0.253942,2.977212,-0.057961
18,-0.234677,2.977212,-0.113015
19,-0.203645,2.977212,-0.162402
20,-0.162402,2.977212,-0.203645
21,-0.113015,2.977212,-0.234677
22,-0.057961,2.977212,-0.253942
23,-0.000000,2.977212,-0.260472
24,0.057961,2.977212,-0.253942
25,0.113015,2.977212,-0.234677
26,0.162402,2.977212,-0.203645
27,0.203645,2.977212,-0.162402
28,0.234677,2.977212,-0.113015
29,0.253942,2.977212,-0.057961
30,0.513030,2.909539,0.000000
31,0.500167,2.909539,0.114160
32,0.462224,2.909539,0.222595
33,0.401103,2.909539,0.319869
34,0.319869,2.909539,0.401103
35,0.222595,2.909539,0.462224
36,0.114160,2.909539,0.500167
37,0.000000,2.909539,0.513030
38,-0.114160,2.909539,0.500167
39,-0.222595,2.909539,0.462224
40,-0.319869,2.909539,0.401103
41,-0.401103,2.909539,0.319869
42,-0.462224,2.909539,0.222595
43,-0.500167,2.909539,0.114160
44,-0.513030,2.909539,0.000000
45,-0.500167,2.909539,-0.114160
46,-0.462224,2.909539,-0.222595
47,-0.401103,2.909539,-0.319869
48,-0.319869,2.909539,-0.401103
49,-0.222595,2.909539,-0.462224
50,-0.114160,2.909539,-0.500167
51,-0.000000,2.909539,-0.513030
52,0.114160,2.909539,-0.500167
53,0.222595,2.909539,-0.462224
54,0.319869,2.909539,-0.401103
55,0.401103,2.909539,-0.319869
56,0.462224,2.909539,-0.222595
57,0.500167,2.909539,-0.114160
58,0.750000,2.799038,0.000000
59,0.731196,2.799038,0.166891
60,0.675727,2.799038,0.325413
61,0.586374,2.799038,0.467617
62,0.467617,2.799038,0.586374
63,0.325413,2.799038,0.675727
64,0.166891,2.799038,0.731196
65,0.000000,2.799038,0.750000
66,-0.166891,2.799038,0.731196
67,-0.325413,2.799038,0.675727
68,-0.467617,2.799038,0.586374
69,-0.586374,2.799038,0.467617
70,-0.675727,2.799038,0.325413
71,-0.731196,2.799038,0.166891
72,-0.750000,2.799038,0.000000
73,-0.731196,2.799038,-0.166891
74,-0.675727,2.799038,-0.325413
75,-0.586374,2.799038,-0.467617
76,-0.467617,2.799038,-0.586374
77,-0.325413,2.799038,-0.675727
78,-0.166891,2.799038,-0.731196
79,-0.000000,2.799038,-0.750000
80,0.166891,2.799038,-0.731196
81,0.325413,2.799038,-0.675727
82,0.467617,2.799038,-0.586374
83,0.586374,2.799038,-0.467617
84,0.675727,2.799038,-0.325413
85,0.731196,2.799038,-0.166891
86,0.964181,2.649067,0.000000
87,0.940007,2.649067,0.214551
88,0.868697,2.649067,0.418343
89,0.753827,2.649067,0.601157
90,0.601157,2.649067,0.753827
91,0.418343,2.649067,0.868697
92,0.214551,2.649067,0.940007
93,0.000000,2.649067,0.964181
94,-0.214551,2.649067,0.940007
95,-0.418343,2.649067,0.868697
96,-0.601157,2.649067,0.753827
97,-0.753827,2.649067,0.601157
98,-0.868697,2.649067,0.418343
99,-0.940007,2.649067,0.214551
100,-0.964181,2.649067,0.000000
101,-0.940007,2.649067,-0.214551
102,-0.868697,2.649067,-0.418343
103,-0.753827,2.649067,-0.601157
104,-0.601157,2.649067,-0.753827
105,-0.418343,2.649067,-0.868697
106,-0.214551,2.649067,-0.940007
107,-0.000000,2.649067,-0.964181
108,0.214551,2.649067,-0.940007
