x,y,z
1,26,25
1,2,26
2,27,26
2,3,27
3,28,27
3,4,28
4,29,28
4,5,29
5,30,29
5,6,30
6,31,30
6,7,31
7,32,31
7,8,32
8,33,32
8,9,33
9,34,33
9,10,34
10,35,34
10,11,35
11,36,35
11,12,36
12,37,36
12,13,37
13,38,37
13,14,38
14,39,38
14,15,39
15,40,39
15,16,40
16,41,40
16,17,41
17,42,41
17,18,42
18,43,42
18,19,43
19,44,43
19,20,44
20,45,44
20,21,45
21,46,45
21,22,46
22,47,46
22,23,47
23,48,47
23,24,48
24,25,48
24,1,25
25,50,49
25,26,50
26,51,50
26,27,51
27,52,51
27,28,52
28,53,52
28,29,53
29,54,53
29,30,54
30,55,54
30,31,55
31,56,55
31,32,56
32,57,56
32,33,57
33,58,57
33,34,58
34,59,58
34,35,59
35,60,59
35,36,60
36,61,60
36,37,61
37,62,61
37,38,62
38,63,62
38,39,63
39,64,63
39,40,64
40,65,64
40,41,65
41,66,65
41,42,66
42,67,66
42,43,67
43,68,67
43,44,68
44,69,68
44,45,69
45,70,69
45,46,70
46,71,70
46,47,71
47,72,71
47,48,72
48,49,72
48,25,49
49,74,73
49,50,74
50,75,74
50,51,75
51,76,75
51,52,76
52,77,76
52,53,77
53,78,77
53,54,78
54,79,78
54,55,79
55,80,79
55,56,80
56,81,80
56,57,81
57,82,81
57,58,82
58,83,82
58,59,83
59,84,83
59,60,84
60,85,84
60,61,85
61,86,85
61,62,86
62,87,86
62,63,87
63,88,87
63,64,88
64,89,88
64,65,89
65,90,89
65,66,90
66,91,90
66,67,91
67,92,91
67,68,92
68,93,92
68,69,93
69,94,93
69,70,94
70,95,94
70,71,95
71,96,95
71,72,96
72,73,96
72,49,73
73,98,97
73,74,98
74,99,98
74,75,99
75,100,99
75,76,100
76,101,100
76,77,101
77,102,101
77,78,102
78,103,102
78,79,103
79,104,103
79,80,104
80,105,104
80,81,105
81,106,105
81,82,106
82,107,106
82,83,107
83,108,107
83,84,108
84,109,108
84,85,109
85,110,109
85,86,110
86,111,110
86,87,111
87,112,111
87,88,112
88,113,112
88,89,113
89,114,113
89,90,114
90,115,114
90,91,115
91,116,115
91,92,116
92,117,116
92,93,117
93,118,117
93,94,118
94,119,118
94,95,119
95,120,119
95,96,120
96,97,120
96,73,97
97,122,121
97,98,122
98,123,122
98,99,123
99,124,123
99,100,124
100,125,124
100,101,125
101,126,125
101,102,126
102,127,126
102,103,127
103,128,127
103,104,128
104,129,128
104,105,129
105,130,129
105,106,130
106,131,130
106,107,131
107,132,131
107,108,132
108,133,132
108,109,133
109,134,133
109,110,134
110,135,134
110,111,135
111,136,135
111,112,136
112,137,136
112,113,137
113,138,137
113,114,138
114,139,138
114,115,139
115,140,139
115,116,140
116,141,140
116,117,141
117,142,141
117,118,142
118,143,142
118,119,143
119,144,143
119,120,144
120,121,144
120,97,121
121,146,145
121,122,146
122,147,146
122,123,147
123,148,147
123,124,148
124,149,148
124,125,149
125,150,149
125,126,150
126,151,150
126,127,151
127,152,151
127,128,152
128,153,152
128,129,153
129,154,153
129,130,154
130,155,154
130,131,155
131,156,155
131,132,156
132,157,156
132,133,157
133,158,157
133,134,158
134,159,158
134,135,159
135,160,159
135,136,160
136,161,160
136,137,161
137,162,161
137,138,162
138,163,162
138,139,163
139,164,163
139,140,164
140,165,164
140,141,165
141,166,165
141,142,166
142,167,166
142,143,167
143,168,167
143,144,168
144,145,168
144,121,145
145,170,169
145,146,170
146,171,170
146,147,171
147,172,171
147,148,172
148,173,172
148,149,173
149,174,173
149,150,174
150,175,174
150,151,175
151,176,175
151,152,176
152,177,176
152,153,177
153,178,177
153,154,178
154,179,178
154,155,179
155,180,179
155,156,180
156,181,180
156,157,181
157,182,181
157,158,182
158,183,182
158,159,183
159,184,183
159,160,184
160,185,184
160,161,185
161,186,185
161,162,186
162,187,186
162,163,187
163,188,187
163,164,188
164,189,188
164,165,189
165,190,189
165,166,190
166,191,190
166,167,191
167,192,191
167,168,192
168,169,192
168,145,169
169,194,193
169,170,194
170,195,194
170,171,195
171,196,195
171,172,196
172,197,196
172,173,197
173,198,197
173,174,198
174,199,198
174,175,199
175,200,199
175,176,200
176,201,200
176,177,201
177,202,201
177,178,202
178,203,202
178,179,203
179,204,203
179,180,204
180,205,204
180,181,205
181,206,205
181,182,206
182,207,206
182,183,207
183,208,207
183,184,208
184,209,208
184,185,209
185,210,209
185,186,210
186,211,210
186,187,211
187,212,211
187,188,212
188,213,212
188,189,213
189,214,213
189,190,214
190,215,214
190,191,215
191,216,215
191,192,216
192,193,216
192,169,193
193,218,217
193,194,218
194,219,218
194,195,219
195,220,219
195,196,220
196,221,220
196,197,221
197,222,221
197,198,222
198,223,222
198,199,223
199,224,223
199,200,224
200,225,224
200,201,225
201,226,225
201,202,226
202,227,226
202,203,227
203,228,227
203,204,228
204,229,228
204,205,229
205,230,229
205,206,230
206,231,230
206,207,231
207,232,231
207,208,232
208,233,232
208,209,233
209,234,233
209,210,234
210,235,234
210,211,235
211,236,235
211,212,236
212,237,236
212,213,237
213,238,237
213,214,238
214,239,238
214,215,239
215,240,239
215,216,240
216,217,240
216,193,217
217,242,241
217,218,242
218,243,242
218,219,243
219,244,243
219,220,244
220,245,244
220,221,245
221,246,245
221,222,246
222,247,246
222,223,247
223,248,247
223,224,248
224,249,248
224,225,249
225,250,249
225,226,250
226,251,250
226,227,251
227,252,251
227,228,252
228,253,252
228,229,253
229,254,253
229,230,254
230,255,254
230,231,255
231,256,255
231,232,256
232,257,256
232,233,257
233,258,257
233,234,258
234,259,258
234,235,259
235,260,259
235,236,260
236,261,260
236,237,261
237,262,261
237,238,262
238,263,262
238,239,263
239,264,263
239,240,264
240,241,264
240,217,241
241,266,265
241,242,266
242,267,266
242,243,267
243,268,267
243,244,268
244,269,268
244,245,269
245,270,269
245,246,270
246,271,270
246,247,271
247,272,271
247,248,272
248,273,272
248,249,273
249,274,273
249,250,274
250,275,274
250,251,275
251,276,275
251,252,276
252,277,276
252,253,277
253,278,277
253,254,278
254,279,278
254,255,279
255,280,279
255,256,280
256,281,280
256,257,281
257,282,281
257,258,282
258,283,282
258,259,283
259,284,283
259,260,284
260,285,284
260,261,285
261,286,285
261,262,286
262,287,286
262,263,287
263,288,287
263,264,288
264,265,288
264,241,265
265,290,289
265,266,290
266,291,290
266,267,291
267,292,291
267,268,292
268,293,292
268,269,293
269,294,293
269,270,294
270,295,294
270,271,295
271,296,295
271,272,296
272,297,296
272,273,297
273,298,297
273,274,298
274,299,298
274,275,299
275,300,299
275,276,300
276,301,300
276,277,301
277,302,301
277,278,302
278,303,302
278,279,303
279,304,303
279,280,304
280,305,304
