id,x,y,z
1,1,26,25
2,1,2,26
3,2,27,26
4,2,3,27
5,3,28,27
6,3,4,28
7,4,29,28
8,4,5,29
9,5,30,29
10,5,6,30
11,6,31,30
12,6,7,31
13,7,32,31
14,7,8,32
15,8,33,32
16,8,9,33
17,9,34,33
18,9,10,34
19,10,35,34
20,10,11,35
21,11,36,35
22,11,12,36
23,12,37,36
24,12,13,37
25,13,38,37
26,13,14,38
27,14,39,38
28,14,15,39
29,15,40,39
30,15,16,40
31,16,41,40
32,16,17,41
33,17,42,41
34,17,18,42
35,18,43,42
36,18,19,43
37,19,44,43
38,19,20,44
39,20,45,44
40,20,21,45
41,21,46,45
42,21,22,46
43,22,47,46
44,22,23,47
45,23,48,47
46,23,24,48
47,24,25,48
48,24,1,25
49,25,50,49
50,25,26,50
51,26,51,50
52,26,27,51
53,27,52,51
54,27,28,52
55,28,53,52
56,28,29,53
57,29,54,53
58,29,30,54
59,30,55,54
60,30,31,55
61,31,56,55
62,31,32,56
63,32,57,56
64,32,33,57
65,33,58,57
66,33,34,58
67,34,59,58
68,34,35,59
69,35,60,59
70,35,36,60
71,36,61,60
72,36,37,61
73,37,62,61
74,37,38,62
75,38,63,62
76,38,39,63
77,39,64,63
78,39,40,64
79,40,65,64
80,40,41,65
81,41,66,65
82,41,42,66
83,42,67,66
84,42,43,67
85,43,68,67
86,43,44,68
87,44,69,68
88,44,45,69
89,45,70,69
90,45,46,70
91,46,71,70
92,46,47,71
93,47,72,71
94,47,48,72
95,48,49,72
96,48,25,49
97,49,74,73
98,49,50,74
99,50,75,74
100,50,51,75
101,51,76,75
102,51,52,76
103,52,77,76
104,52,53,77
105,53,78,77
106,53,54,78
107,54,79,78
108,54,55,79
109,55,80,79
110,55,56,80
111,56,81,80
112,56,57,81
113,57,82,81
114,57,58,82
115,58,83,82
116,58,59,83
117,59,84,83
118,59,60,84
119,60,85,84
120,60,61,85
121,61,86,85
122,61,62,86
123,62,87,86
124,62,63,87
125,63,88,87
126,63,64,88
127,64,89,88
128,64,65,89
129,65,90,89
130,65,66,90
131,66,91,90
132,66,67,91
133,67,92,91
134,67,68,92
135,68,93,92
136,68,69,93
137,69,94,93
138,69,70,94
139,70,95,94
140,70,71,95
141,71,96,95
142,71,72,96
143,72,73,96
144,72,49,73
145,73,98,97
146,73,74,98
147,74,99,98
148,74,75,99
149,75,100,99
150,75,76,100
151,76,101,100
152,76,77,101
153,77,102,101
154,77,78,102
155,78,103,102
156,78,79,103
157,79,104,103
