x,y,z
3.200000,0.000000,0.000000
3.165926,0.258819,0.000000
3.066025,0.500000,0.000000
2.907107,0.707107,0.000000
2.700000,0.866025,0.000000
2.458819,0.965926,0.000000
2.200000,1.000000,0.000000
1.941181,0.965926,0.000000
1.700000,0.866025,0.000000
1.492893,0.707107,0.000000
1.333975,0.500000,0.000000
1.234074,0.258819,0.000000
1.200000,0.000000,0.000000
1.234074,-0.258819,0.000000
1.333975,-0.500000,0.000000
1.492893,-0.707107,0.000000
1.700000,-0.866025,0.000000
1.941181,-0.965926,0.000000
2.200000,-1.000000,0.000000
2.458819,-0.965926,0.000000
2.700000,-0.866025,0.000000
2.907107,-0.707107,0.000000
3.066025,-0.500000,0.000000
3.165926,-0.258819,0.000000
3.172624,0.000000,0.417684
3.138841,0.258819,0.413236
3.039795,0.500000,0.400197
2.882236,0.707107,0.379454
2.676901,0.866025,0.352421
2.437784,0.965926,0.320940
2.181179,1.000000,0.287158
1.924574,0.965926,0.253375
1.685456,0.866025,0.221895
1.480121,0.707107,0.194862
1.322562,0.500000,0.174119
1.223516,0.258819,0.161079
1.189734,0.000000,0.156631
1.223516,-0.258819,0.161079
1.322562,-0.500000,0.174119
1.480121,-0.707107,0.194862
1.685456,-0.866025,0.221895
1.924574,-0.965926,0.253375
2.181179,-1.000000,0.287158
2.437784,-0.965926,0.320940
2.676901,-0.866025,0.352421
2.882236,-0.707107,0.379454
3.039795,-0.500000,0.400197
3.138841,-0.258819,0.413236
3.090963,0.000000,0.828221
3.058050,0.258819,0.819402
2.961553,0.500000,0.793546
2.808050,0.707107,0.752415
2.608000,0.866025,0.698811
2.375037,0.965926,0.636389
2.125037,1.000000,0.569402
1.875037,0.965926,0.502415
1.642074,0.866025,0.439992
1.442024,0.707107,0.386389
1.288521,0.500000,0.345258
1.192024,0.258819,0.319402
1.159111,0.000000,0.310583
1.192024,-0.258819,0.319402
1.288521,-0.500000,0.345258
1.442024,-0.707107,0.386389
1.642074,-0.866025,0.439992
1.875037,-0.965926,0.502415
2.125037,-1.000000,0.569402
2.375037,-0.965926,0.636389
2.608000,-0.866025,0.698811
2.808050,-0.707107,0.752415
2.961553,-0.500000,0.793546
3.058050,-0.258819,0.819402
2.956415,0.000000,1.224587
2.924934,0.258819,1.211547
2.832638,0.500000,1.173317
2.685816,0.707107,1.112502
2.494475,0.866025,1.033245
2.271653,0.965926,0.940949
2.032535,1.000000,0.841904
1.793417,0.965926,0.742858
1.570595,0.866025,0.650562
1.379253,0.707107,0.571306
1.232432,0.500000,0.510490
1.140136,0.258819,0.472260
1.108655,0.000000,0.459220
1.140136,-0.258819,0.472260
1.232432,-0.500000,0.510490
1.379253,-0.707107,0.571306
1.570595,-0.866025,0.650562
