id,x,y,z
1,3.200000,0.000000,0.000000
2,3.165926,0.258819,0.000000
3,3.066025,0.500000,0.000000
4,2.907107,0.707107,0.000000
5,2.700000,0.866025,0.000000
6,2.458819,0.965926,0.000000
7,2.200000,1.000000,0.000000
8,1.941181,0.965926,0.000000
9,1.700000,0.866025,0.000000
10,1.492893,0.707107,0.000000
11,1.333975,0.500000,0.000000
12,1.234074,0.258819,0.000000
13,1.200000,0.000000,0.000000
14,1.234074,-0.258819,0.000000
15,1.333975,-0.500000,0.000000
16,1.492893,-0.707107,0.000000
17,1.700000,-0.866025,0.000000
18,1.941181,-0.965926,0.000000
19,2.200000,-1.000000,0.000000
20,2.458819,-0.965926,0.000000
21,2.700000,-0.866025,0.000000
22,2.907107,-0.707107,0.000000
23,3.066025,-0.500000,0.000000
24,3.165926,-0.258819,0.000000
25,3.172624,0.000000,0.417684
26,3.138841,0.258819,0.413236
27,3.039795,0.500000,0.400197
28,2.882236,0.707107,0.379454
29,2.676901,0.866025,0.352421
30,2.437784,0.965926,0.320940
31,2.181179,1.000000,0.287158
32,1.924574,0.965926,0.253375
33,1.685456,0.866025,0.221895
34,1.480121,0.707107,0.194862
35,1.322562,0.500000,0.174119
36,1.223516,0.258819,0.161079
37,1.189734,0.000000,0.156631
38,1.223516,-0.258819,0.161079
39,1.322562,-0.500000,0.174119
40,1.480121,-0.707107,0.194862
41,1.685456,-0.866025,0.221895
42,1.924574,-0.965926,0.253375
43,2.181179,-1.000000,0.287158
44,2.437784,-0.965926,0.320940
45,2.676901,-0.866025,0.352421
46,2.882236,-0.707107,0.379454
47,3.039795,-0.500000,0.400197
48,3.138841,-0.258819,0.413236
49,3.090963,0.000000,0.828221
50,3.058050,0.258819,0.819402
51,2.961553,0.500000,0.793546
52,2.808050,0.707107,0.752415
53,2.608000,0.866025,0.698811
54,2.375037,0.965926,0.636389
55,2.125037,1.000000,0.569402
56,1.875037,0.965926,0.502415
57,1.642074,0.866025,0.439992
58,1.442024,0.707107,0.386389
59,1.288521,0.500000,0.345258
60,1.192024,0.258819,0.319402
61,1.159111,0.000000,0.310583
62,1.192024,-0.258819,0.319402
63,1.288521,-0.500000,0.345258
64,1.442024,-0.707107,0.386389
65,1.642074,-0.866025,0.439992
66,1.875037,-0.965926,0.502415
67,2.125037,-1.000000,0.569402
68,2.375037,-0.965926,0.636389
69,2.608000,-0.866025,0.698811
70,2.808050,-0.707107,0.752415
71,2.961553,-0.500000,0.793546
72,3.058050,-0.258819,0.819402
73,2.956415,0.000000,1.224587
74,2.924934,0.258819,1.211547
75,2.832638,0.500000,1.173317
76,2.685816,0.707107,1.112502
77,2.494475,0.866025,1.033245
78,2.271653,0.965926,0.940949
79,2.032535,1.000000,0.841904
80,1.793417,0.965926,0.742858
81,1.570595,0.866025,0.650562
82,1.379253,0.707107,0.571306
83,1.232432,0.500000,0.510490
84,1.140136,0.258819,0.472260
85,1.108655,0.000000,0.459220
86,1.140136,-0.258819,0.472260
87,1.232432,-0.500000,0.510490
88,1.379253,-0.707107,0.571306
89,1.570595,-0.866025,0.650562
90,1.793417,-0.965926,0.742858
91,2.032535,-1.000000,0.841904
92,2.271653,-0.965926,0.940949
93,2.494475,-0.866025,1.033245
94,2.685816,-0.707107,1.112502
95,2.832638,-0.500000,1.173317
96,2.924934,-0.258819,1.211547
97,2.771281,0.000000,1.600000
98,2.741772,0.258819,1.582963
99,2.655256,0.500000,1.533013
100,2.517628,0.707107,1.453553
101,2.338269,0.866025,1.350000
102,2.129400,0.965926,1.229410
103,1.905256,1.000000,1.100000
104,1.681112,0.965926,0.970590
105,1.472243,0.866025,0.850000
106,1.292883,0.707107,0.746447
107,1.155256,0.500000,0.666987
108,1.068740,0.258819,0.617037
109,1.039230,0.000000,0.600000
110,1.068740,-0.258819,0.617037
111,1.155256,-0.500000,0.666987
112,1.292883,-0.707107,0.746447
113,1.472243,-0.866025,0.850000
114,1.681112,-0.965926,0.970590
115,1.905256,-1.000000,1.100000
116,2.129400,-0.965926,1.229410
117,2.338269,-0.866025,1.350000
118,2.517628,-0.707107,1.453553
119,2.655256,-0.500000,1.533013
120,2.741772,-0.258819,1.582963
121,2.538731,0.000000,1.948037
122,2.511698,0.258819,1.927294
123,2.432441,0.500000,1.866478
124,2.306363,0.707107,1.769734
125,2.142054,0.866025,1.643656
126,1.950712,0.965926,1.496834
127,1.745377,1.000000,1.339275
128,1.540042,0.965926,1.181716
129,1.348701,0.866025,1.034894
130,1.184392,0.707107,0.908816
131,1.058313,0.500000,0.812072
132,0.979057,0.258819,0.751257
133,0.952024,0.000000,0.730514
134,0.979057,-0.258819,0.751257
135,1.058313,-0.500000,0.812072
136,1.184392,-0.707107,0.908816
137,1.348701,-0.866025,1.034894
138,1.540042,-0.965926,1.181716
139,1.745377,-1.000000,1.339275
140,1.950712,-0.965926,1.496834
141,2.142054,-0.866025,1.643656
142,2.306363,-0.707107,1.769734
143,2.432441,-0.500000,1.866478
144,2.511698,-0.258819,1.927294
145,2.262742,0.000000,2.262742
146,2.238648,0.258819,2.238648
147,2.168007,0.500000,2.168007
148,2.055635,0.707107,2.055635
149,1.909188,0.866025,1.909188
150,1.738648,0.965926,1.738648
151,1.555635,1.000000,1.555635
152,1.372622,0.965926,1.372622
153,1.202082,0.866025,1.202082
154,1.055635,0.707107,1.055635
155,0.943262,0.500000,0.943262
156,0.872622,0.258819,0.872622
157,0.848528,0.000000,0.848528
158,0.872622,-0.258819,0.872622
159,0.943262,-0.500000,0.943262
160,1.055635,-0.707107,1.055635
161,1.202082,-0.866025,1.202082
162,1.372622,-0.965926,1.372622
163,1.555635,-1.000000,1.555635
164,1.738648,-0.965926,1.738648
165,1.909188,-0.866025,1.909188
166,2.055635,-0.707107,2.055635
167,2.168007,-0.500000,2.168007
168,2.238648,-0.258819,2.238648
169,1.948037,0.000000,2.538731
170,1.927294,0.258819,2.511698
171,1.866478,0.500000,2.432441
172,1.769734,0.707107,2.306363
173,1.643656,0.866025,2.142054
174,1.496834,0.965926,1.950712
175,1.339275,1.000000,1.745377
176,1.181716,0.965926,1.540042
177,1.034894,0.866025,1.348701
178,0.908816,0.707107,1.184392
179,0.812072,0.500000,1.058313
180,0.751257,0.258819,0.979057
181,0.730514,0.000000,0.952024
182,0.751257,-0.258819,0.979057
183,0.812072,-0.500000,1.058313
184,0.908816,-0.707107,1.184392
185,1.034894,-0.866025,1.348701
186,1.181716,-0.965926,1.540042
187,1.339275,-1.000000,1.745377
188,1.496834,-0.965926,1.950712
189,1.643656,-0.866025,2.142054
190,1.769734,-0.707107,2.306363
191,1.866478,-0.500000,2.432441
192,1.927294,-0.258819,2.511698
193,1.600000,0.000000,2.771281
194,1.582963,0.258819,2.741772
195,1.533013,0.500000,2.655256
196,1.453553,0.707107,2.517628
197,1.350000,0.866025,2.338269
198,1.229410,0.965926,2.129400
199,1.100000,1.000000,1.905256
200,0.970590,0.965926,1.681112
201,0.850000,0.866025,1.472243
202,0.746447,0.707107,1.292883
203,0.666987,0.500000,1.155256
204,0.617037,0.258819,1.068740
205,0.600000,0.000000,1.039230
206,0.617037,-0.258819,1.068740
207,0.666987,-0.500000,1.155256
208,0.746447,-0.707107,1.292883
209,0.850000,-0.866025,1.472243
210,0.970590,-0.965926,1.681112
211,1.100000,-1.000000,1.905256
212,1.229410,-0.965926,2.129400
213,1.350000,-0.866025,2.338269
214,1.453553,-0.707107,2.517628
215,1.533013,-0.500000,2.655256
216,1.582963,-0.258819,2.741772
217,1.224587,0.000000,2.956415
218,1.211547,0.258819,2.924934
219,1.173317,0.500000,2.832638
220,1.112502,0.707107,2.685816
221,1.033245,0.866025,2.494475
222,0.940949,0.965926,2.271653
223,0.841904,1.000000,2.032535
224,0.742858,0.965926,1.793417
225,0.650562,0.866025,1.570595
226,0.571306,0.707107,1.379253
227,0.510490,0.500000,1.232432
228,0.472260,0.258819,1.140136
229,0.459220,0.000000,1.108655
230,0.472260,-0.258819,1.140136
231,0.510490,-0.500000,1.232432
232,0.571306,-0.707107,1.379253
233,0.650562,-0.866025,1.570595
234,0.742858,-0.965926,1.793417
235,0.841904,-1.000000,2.032535
236,0.940949,-0.965926,2.271653
237,1.033245,-0.866025,2.494475
238,1.112502,-0.707107,2.685816
239,1.173317,-0.500000,2.832638
240,1.211547,-0.258819,2.924934
241,0.828221,0.000000,3.090963
242,0.819402,0.258819,3.058050
243,0.793546,0.500000,2.961553
244,0.752415,0.707107,2.808050
245,0.698811,0.866025,2.608000
