x,y,z,id
2909,2921,2939,1
2939,2931,2909,1
2869,2877,2921,1
2921,2909,2869,1
2819,2827,2877,1
2877,2869,2819,1
2737,2747,2827,1
2827,2819,2737,1
2669,2673,2747,1
2747,2737,2669,1
2567,2575,2673,1
2673,2669,2567,1
2476,2480,2575,1
2575,2567,2476,1
2358,2362,2480,1
2480,2476,2358,1
2158,2162,2362,1
2362,2358,2158,1
1715,1812,2162,1
2162,2158,1715,1
2901,2909,2931,1
2931,2917,2901,1
2863,2869,2909,1
2909,2901,2863,1
2813,2819,2869,1
2869,2863,2813,1
2729,2737,2819,1
2819,2813,2729,1
2663,2669,2737,1
2737,2729,2663,1
2561,2567,2669,1
2669,2663,2561,1
2468,2476,2567,1
2567,2561,2468,1
2350,2358,2476,1
2476,2468,2350,1
2152,2158,2358,1
2358,2350,2152,1
1717,1715,2158,1
2158,2152,1717,1
2903,2901,2917,1
2917,2923,2903,1
2865,2863,2901,1
2901,2903,2865,1
2815,2813,2863,1
2863,2865,2815,1
2733,2729,2813,1
2813,2815,2733,1
2665,2663,2729,1
2729,2733,2665,1
2564,2561,2663,1
2663,2665,2564,1
2473,2468,2561,1
2561,2564,2473,1
2354,2350,2468,1
2468,2473,2354,1
2155,2152,2350,1
2350,2354,2155,1
1927,1717,2152,1
2152,2155,1927,1
2911,2903,2923,1
2923,2935,2911,1
2875,2865,2903,1
2903,2911,2875,1
2823,2815,2865,1
2865,2875,2823,1
2741,2733,2815,1
2815,2823,2741,1
2671,2665,2733,1
2733,2741,2671,1
2571,2564,2665,1
2665,2671,2571,1
2478,2473,2564,1
2564,2571,2478,1
2360,2354,2473,1
2473,2478,2360,1
2160,2155,2354,1
2354,2360,2160,1
1718,1927,2155,1
2155,2160,1718,1
2929,2911,2935,1
2935,2947,2929,1
2881,2875,2911,1
2911,2929,2881,1
2829,2823,2875,1
2875,2881,2829,1
2751,2741,2823,1
2823,2829,2751,1
2677,2671,2741,1
2741,2751,2677,1
2577,2571,2671,1
2671,2677,2577,1
2482,2478,2571,1
2571,2577,2482,1
2364,2360,2478,1
2478,2482,2364,1
2164,2160,2360,1
2360,2364,2164,1
1842,1718,2160,1
2160,2164,1842,1
2945,2929,2947,1
2947,2959,2945,1
2897,2881,2929,1
2929,2945,2897,1
2835,2829,2881,1
2881,2897,2835,1
2761,2751,2829,1
2829,2835,2761,1
2679,2677,2751,1
2751,2761,2679,1
2579,2577,2677,1
2677,2679,2579,1
2486,2482,2577,1
2577,2579,2486,1
2368,2364,2482,1
2482,2486,2368,1
2172,2164,2364,1
2364,2368,2172,1
1725,1842,2164,1
2164,2172,1725,1
2965,2945,2959,1
2959,2981,2965,1
2907,2897,2945,1
2945,2965,2907,1
2845,2835,2897,1
2897,2907,2845,1
2769,2761,2835,1
2835,2845,2769,1
2685,2679,2761,1
2761,2769,2685,1
2587,2579,2679,1
2679,2685,2587,1
2491,2486,2579,1
2579,2587,2491,1
2370,2368,2486,1
2486,2491,2370,1
2174,2172,2368,1
2368,2370,2174,1
1834,1725,2172,1
2172,2174,1834,1
2982,2965,2981,1
2981,2988,2982,1
2933,2907,2965,1
2965,2982,2933,1
2855,2845,2907,1
2907,2933,2855,1
2779,2769,2845,1
2845,2855,2779,1
2691,2685,2769,1
2769,2779,2691,1
2595,2587,2685,1
2685,2691,2595,1
2500,2491,2587,1
2587,2595,2500,1
2374,2370,2491,1
2491,2500,2374,1
2178,2174,2370,1
2370,2374,2178,1
1716,1834,2174,1
2174,2178,1716,1
2990,2982,2988,1
2988,3002,2990,1
2949,2933,2982,1
2982,2990,2949,1
2871,2855,2933,1
2933,2949,2871,1
2791,2779,2855,1
2855,2871,2791,1
2699,2691,2779,1
2779,2791,2699,1
2601,2595,2691,1
2691,2699,2601,1
2506,2500,2595,1
2595,2601,2506,1
2378,2374,2500,1
2500,2506,2378,1
2180,2178,2374,1
2374,2378,2180,1
1714,1716,2178,1
2178,2180,1714,1
3008,2990,3002,1
3002,3024,3008,1
2973,2949,2990,1
2990,3008,2973,1
2889,2871,2949,1
2949,2973,2889,1
2805,2791,2871,1
2871,2889,2805,1
2711,2699,2791,1
2791,2805,2711,1
2611,2601,2699,1
2699,2711,2611,1
2521,2506,2601,1
2601,2611,2521,1
2387,2378,2506,1
2506,2521,2387,1
2191,2180,2378,1
2378,2387,2191,1
1810,1714,2180,1
2180,2191,1810,1
1464,1460,1813,1
1813,1821,1464,1
1264,1260,1460,1
1460,1464,1264,1
1146,1142,1260,1
1260,1264,1146,1
1055,1047,1142,1
1142,1146,1055,1
953,949,1047,1
1047,1055,953,1
885,875,949,1
949,953,885,1
803,795,875,1
875,885,803,1
753,745,795,1
795,803,753,1
713,701,745,1
745,753,713,1
691,683,701,1
701,713,691,1
1470,1464,1821,1
1821,1829,1470,1
1272,1264,1464,1
1464,1470,1272,1
1154,1146,1264,1
1264,1272,1154,1
1061,1055,1146,1
1146,1154,1061,1
959,953,1055,1
1055,1061,959,1
893,885,953,1
953,959,893,1
809,803,885,1
885,893,809,1
759,753,803,1
803,809,759,1
721,713,753,1
753,759,721,1
705,691,713,1
713,721,705,1
1469,1470,1829,1
1829,1835,1469,1
1268,1272,1470,1
1470,1469,1268,1
1151,1154,1272,1
1272,1268,1151,1
1060,1061,1154,1
1154,1151,1060,1
957,959,1061,1
1061,1060,957,1
889,893,959,1
959,957,889,1
807,809,893,1
893,889,807,1
757,759,809,1
809,807,757,1
719,721,759,1
759,757,719,1
699,705,721,1
721,719,699,1
1462,1469,1835,1
1835,1839,1462,1
1262,1268,1469,1
1469,1462,1262,1
1144,1151,1268,1
1268,1262,1144,1
1051,1060,1151,1
1151,1144,1051,1
951,957,1060,1
1060,1051,951,1
881,889,957,1
957,951,881,1
799,807,889,1
889,881,799,1
747,757,807,1
807,799,747,1
711,719,757,1
757,747,711,1
687,699,719,1
719,711,687,1
1458,1462,1839,1
1839,1843,1458,1
1258,1262,1462,1
1462,1458,1258,1
1140,1144,1262,1
1262,1258,1140,1
1045,1051,1144,1
1144,1140,1045,1
945,951,1051,1
1051,1045,945,1
871,881,951,1
951,945,871,1
793,799,881,1
881,871,793,1
741,747,799,1
799,793,741,1
693,711,747,1
747,741,693,1
675,687,711,1
711,693,675,1
1450,1458,1843,1
1843,1838,1450,1
1254,1258,1458,1
1458,1450,1254,1
1136,1140,1258,1
1258,1254,1136,1
1043,1045,1140,1
1140,1136,1043,1
943,945,1045,1
1045,1043,943,1
861,871,945,1
945,943,861,1
787,793,871,1
871,861,787,1
725,741,793,1
793,787,725,1
677,693,741,1
741,725,677,1
663,675,693,1
693,677,663,1
1448,1450,1838,1
1838,1834,1448,1
1252,1254,1450,1
1450,1448,1252,1
1133,1136,1254,1
1254,1252,1133,1
1035,1043,1136,1
1136,1133,1035,1
937,943,1043,1
1043,1035,937,1
853,861,943,1
943,937,853,1
777,787,861,1
861,853,777,1
715,725,787,1
787,777,715,1
657,677,725,1
725,715,657,1
642,663,677,1
677,657,642,1
1444,1448,1834,1
1834,1828,1444,1
1248,1252,1448,1
1448,1444,1248,1
1122,1133,1252,1
1252,1248,1122,1
1027,1035,1133,1
1133,1122,1027,1
931,937,1035,1
1035,1027,931,1
843,853,937,1
937,931,843,1
767,777,853,1
853,843,767,1
689,715,777,1
777,767,689,1
640,657,715,1
715,689,640,1
634,642,657,1
657,640,634,1
1442,1444,1828,1
1828,1820,1442,1
1244,1248,1444,1
1444,1442,1244,1
1116,1122,1248,1
1248,1244,1116,1
1021,1027,1122,1
1122,1116,1021,1
923,931,1027,1
1027,1021,923,1
831,843,931,1
931,923,831,1
751,767,843,1
843,831,751,1
673,689,767,1
767,751,673,1
632,640,689,1
689,673,632,1
620,634,640,1
640,632,620,1
1429,1442,1820,1
1820,1811,1429,1
1233,1244,1442,1
1442,1429,1233,1
1106,1116,1244,1
1244,1233,1106,1
1011,1021,1116,1
1116,1106,1011,1
911,923,1021,1
1021,1011,911,1
817,831,923,1
923,911,817,1
733,751,831,1
831,817,733,1
649,673,751,1
751,733,649,1
614,632,673,1
673,649,614,1
597,620,632,1
632,614,597,1
714,702,684,1
684,692,714,1
754,746,702,1
702,714,754,1
804,796,746,1
746,754,804,1
886,876,796,1
796,804,886,1
954,950,876,1
876,886,954,1
1056,1048,950,1
950,954,1056,1
1147,1143,1048,1
1048,1056,1147,1
1265,1261,1143,1
1143,1147,1265,1
1465,1461,1261,1
1261,1265,1465,1
1915,1817,1461,1
1461,1465,1915,1
722,714,692,1
692,706,722,1
760,754,714,1
714,722,760,1
810,804,754,1
754,760,810,1
